Name,Brand
buick century special,buick
mercury zephyr,mercury
dodge aspen,dodge
amc concord d/l,amc
buick regal sport coupe (turbo),buick
ford futura,ford
dodge magnum xe,dodge
datsun 510,datsun
dodge omni,dodge
toyota celica gt liftback,toyota
plymouth sapporo,plymouth
oldsmobile starfire sx,oldsmobile
datsun 200-sx,datsun
audi 5000,audi
volvo 264gl,volvo
saab 99gle,others
peugeot 604sl,peugeot
volkswagen scirocco,volkswagen
honda Accelerationord lx,honda
pontiac lemans v6,pontiac
mercury zephyr 6,mercury
ford fairmont 4,ford
amc concord dl 6,amc
dodge aspen 6,dodge
ford ltd landau,ford
mercury grand marquis,mercury
dodge st. regis,dodge
chevrolet malibu classic (sw),chevrolet
chrysler lebaron town @ country (sw),chrysler
vw rabbit custom,volkswagen
maxda glc deluxe,mazda
dodge colt hatchback custom,dodge
amc spirit dl,amc
mercedes benz 300d,others
cadillac eldorado,others
plymouth horizon,plymouth
plymouth horizon tc3,plymouth
datsun 210,datsun
fiat strada custom,fiat
buick skylark limited,buick
chevrolet citation,chevrolet
oldsmobile omega brougham,oldsmobile
pontiac phoenix,pontiac
toyota corolla tercel,toyota
datsun 310,datsun
ford fairmont,ford
audi 4000,audi
toyota corona liftback,toyota
mazda 626,mazda
datsun 510 hatchback,datsun
mazda glc,mazda
vw rabbit c (diesel),volkswagen
vw dasher (diesel),volkswagen
audi 5000s (diesel),audi
mercedes-benz 240d,others
honda civic 1500 gl,honda
vokswagen rabbit,volkswagen
datsun 280-zx,datsun
mazda rx-7 gs,mazda
triumph tr7 coupe,others
honda Accelerationord,honda
plymouth reliant,plymouth
dodge aries wagon (sw),dodge
toyota starlet,toyota
plymouth champ,plymouth
honda civic 1300,honda
toyota tercel,toyota
mazda glc 4,mazda
plymouth horizon 4,plymouth
ford escort 4w,ford
ford escort 2h,ford
volkswagen jetta,volkswagen
honda prelude,honda
datsun 200sx,datsun
peugeot 505s turbo diesel,peugeot
volvo diesel,volvo
toyota cressida,toyota
datsun 810 maxima,datsun
oldsmobile cutlass ls,oldsmobile
ford granada gl,ford
chrysler lebaron salon,chrysler
chevrolet cavalier,chevrolet
chevrolet cavalier wagon,chevrolet
chevrolet cavalier 2-door,chevrolet
pontiac j2000 se hatchback,pontiac
dodge aries se,dodge
ford fairmont futura,ford
volkswagen rabbit l,volkswagen
mazda glc custom l,mazda
mazda glc custom,mazda
plymouth horizon miser,plymouth
mercury lynx l,mercury
nissan stanza xe,others
honda civic (auto),honda
datsun 310 gx,datsun
buick century limited,buick
oldsmobile cutlass ciera (diesel),oldsmobile
chrysler lebaron medallion,chrysler
ford granada l,ford
toyota celica gt,toyota
dodge charger 2.2,dodge
chevrolet camaro,chevrolet
ford mustang gl,ford
vw pickup,volkswagen
dodge rampage,dodge
ford ranger,ford
chevy s-10,chevrolet
