Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
F,30,169,60,2012,Summer,London,Basketball,Silver,France,Europe,Europe,Ball
F,28,183,70,2000,Summer,Sydney,Rowing,Bronze,Canada,Oceania,North America,Boat
F,28,176,68.5,1984,Winter,others,Skiing,Bronze,Finland,Europe,Europe,Snow
M,28,177,87,2004,Summer,Athina,Others,Silver,Australia,Europe,Oceania,Ball
M,23,178,73,1968,Summer,Mexico City,Hockey,Bronze,India,North America,Asia,Ball
M,21,184,83,1976,Summer,Montreal,Others,Gold,Germany,North America,Europe,Target
M,28,180,85,2014,Winter,Sochi,Hockey,Bronze,Finland,Europe,Europe,Ice
F,16,173,50,1996,Summer,Atlanta,Gymnastics,Bronze,Russia,North America,Europe,Acrobatic
M,31,205,115,2012,Summer,London,Water Polo,Gold,Croatia,Europe,Europe,Water
F,31,164,66,2004,Summer,Athina,Hockey,Bronze,Argentina,Europe,South America,Ball
F,18,170,64,1972,Summer,Munich,Swimming,Silver,Hungary,Europe,Europe,Water
M,20,201,88,1984,Summer,Los Angeles,Swimming,Silver,Germany,North America,Europe,Water
M,26,180,79,1980,Winter,others,Skating,Bronze,Russia,North America,Europe,Ice
M,31,188,76,2004,Summer,Athina,Sailing,Gold,Brazil,Europe,South America,Boat
F,22,170,58,2016,Summer,Rio de Janeiro,Swimming,Gold,Denmark,South America,Europe,Water
M,23,180,75,1964,Summer,Tokyo,Fencing,Bronze,France,Asia,Europe,Combat
F,19,161,55,2000,Summer,Sydney,Gymnastics,Bronze,Canada,Oceania,North America,Acrobatic
M,23,176,83,2008,Summer,Beijing,Handball,Bronze,Spain,Asia,Europe,Ball
M,26,182,79,1980,Summer,Moskva,Cycling,Bronze,Czech Republic,Europe,Europe,Others
F,17,160,60,2002,Winter,Salt Lake City,Hockey,Bronze,Sweden,North America,Europe,Ice
M,31,180,76,2012,Summer,London,Fencing,Bronze,Italy,Europe,Europe,Combat
M,39,178,86,1992,Summer,Barcelona,Equestrianism,Silver,Austria,Europe,Europe,Others
F,23,161,59,2002,Winter,Salt Lake City,Skiing,Bronze,Italy,North America,Europe,Snow
F,31,193,82,1980,Summer,Moskva,Basketball,Gold,Russia,Europe,Europe,Ball
M,30,180,106,1988,Summer,Seoul,Track&Field,Gold,Russia,Asia,Europe,Race
F,18,179,75,1980,Summer,Moskva,Rowing,Bronze,Romania,Europe,Europe,Boat
M,23,180,78,1960,Summer,Roma,Water Polo,Silver,Russia,Europe,Europe,Water
M,23,181,73,1996,Summer,Atlanta,Football,Silver,Argentina,North America,South America,Ball
M,21,171,75,1960,Summer,Roma,Swimming,Silver,Japan,Europe,Asia,Water
M,31,192,98,2016,Summer,Rio de Janeiro,Canoeing,Gold,Spain,South America,Europe,Boat
F,19,183,70,1984,Summer,Los Angeles,Volleyball,Bronze,Japan,North America,Asia,Ball
M,26,183,77,2016,Summer,Rio de Janeiro,Track&Field,Gold,Jamaica,South America,North America,Race
M,28,175,64,1948,Summer,London,Gymnastics,Gold,Finland,Europe,Europe,Acrobatic
F,25,167,61,2002,Winter,Salt Lake City,Skiing,Gold,Germany,North America,Europe,Snow
F,22,185,70,1988,Summer,Seoul,Swimming,Gold,Germany,Asia,Europe,Water
F,24,168,65,2016,Summer,Rio de Janeiro,Handball,Bronze,Norway,South America,Europe,Ball
M,28,190,88,1908,Summer,London,Track&Field,Gold,Sweden,Europe,Europe,Race
M,25,187,93,1992,Summer,Barcelona,Canoeing,Gold,Bulgaria,Europe,Europe,Boat
F,23,193,120,2008,Summer,Beijing,Track&Field,Gold,New Zealand,Asia,Oceania,Race
M,25,188,89,1956,Summer,Melbourne,Basketball,Bronze,Others,Oceania,South America,Ball
F,20,175,80,2000,Summer,Sydney,Track&Field,Bronze,Cuba,Oceania,North America,Race
F,24,172,60,1992,Summer,Barcelona,Fencing,Silver,Germany,Europe,Europe,Combat
M,21,179,76,1936,Summer,others,Track&Field,Silver,Italy,Europe,Europe,Race
F,22,176,68,2000,Summer,Sydney,Volleyball,Silver,Russia,Oceania,Europe,Ball
M,22,188,98,1980,Summer,Moskva,Water Polo,Gold,Russia,Europe,Europe,Water
F,23,159,63,2016,Summer,Rio de Janeiro,Others,Gold,China,South America,Asia,Others
M,27,193,104,2016,Summer,Rio de Janeiro,Others,Bronze,Others,South America,Africa,Ball
F,33,168,57,1980,Summer,Moskva,Hockey,Gold,Others,Europe,Africa,Ball
M,20,158,53,1984,Summer,Los Angeles,Gymnastics,Gold,China,North America,Asia,Acrobatic
M,26,188,80,1988,Summer,Seoul,Fencing,Silver,Germany,Asia,Europe,Combat
M,25,193,85,1984,Summer,Los Angeles,Sailing,Bronze,Canada,North America,North America,Boat
M,22,178,74,1984,Winter,others,Others,Silver,Russia,Europe,Europe,Ice
M,27,184,82,2004,Summer,Athina,Others,Silver,Australia,Europe,Oceania,Ball
M,20,181,77,1984,Summer,Los Angeles,Swimming,Silver,France,North America,Europe,Water
F,21,173,63,2016,Summer,Rio de Janeiro,Football,Bronze,Canada,South America,North America,Ball
M,24,193,89,1988,Summer,Seoul,Hockey,Bronze,Netherlands,Asia,Europe,Ball
F,26,175,71,2006,Winter,Torino,Hockey,Gold,Canada,Europe,North America,Ice
M,24,173,67,1976,Summer,Montreal,Gymnastics,Bronze,Germany,North America,Europe,Acrobatic
M,34,196,100,2004,Summer,Athina,Handball,Silver,Germany,Europe,Europe,Ball
M,23,176,67,2008,Summer,Beijing,Cycling,Bronze,Russia,Asia,Europe,Others
M,27,181,78,1972,Winter,others,Hockey,Bronze,Czech Republic,Asia,Europe,Ice
M,30,180,73,2012,Summer,London,MultiSport Race,Silver,China,Europe,Asia,Race
M,28,204,108,1992,Summer,Barcelona,Basketball,Bronze,Others,Europe,Europe,Ball
M,25,165,77,2008,Summer,Beijing,Others,Bronze,Others,Asia,Asia,Others
M,29,185,86,1960,Summer,Roma,Water Polo,Bronze,Hungary,Europe,Europe,Water
M,24,190,93,1998,Winter,Nagano,Skating,Gold,Netherlands,Asia,Europe,Ice
M,23,187,107,1952,Summer,others,Swimming,Bronze,France,Europe,Europe,Water
M,23,183,79,2000,Summer,Sydney,Canoeing,Bronze,Germany,Oceania,Europe,Boat
M,21,180,67,2008,Summer,Beijing,Track&Field,Silver,Others,Asia,North America,Race
M,21,175,75,1956,Winter,others,Hockey,Bronze,Canada,Europe,North America,Ice
M,28,186,80,2016,Summer,Rio de Janeiro,Sailing,Silver,Australia,South America,Oceania,Boat
F,22,168,67,2010,Winter,Vancouver,Hockey,Gold,Canada,North America,North America,Ice
F,37,175,72,2010,Winter,Vancouver,Skating,Bronze,Canada,North America,North America,Ice
M,27,173,65,2016,Summer,Rio de Janeiro,Gymnastics,Bronze,China,South America,Asia,Acrobatic
M,36,182,85,2004,Summer,Athina,Canoeing,Silver,Italy,Europe,Europe,Boat
F,26,168,54,2008,Summer,Beijing,Others,Gold,China,Asia,Asia,Ball
M,27,185,73,2008,Summer,Beijing,Rowing,Bronze,Canada,Asia,North America,Boat
M,30,189,163,1968,Summer,Mexico City,Others,Gold,Russia,North America,Europe,Others
F,33,158,45,2002,Winter,Salt Lake City,Skiing,Gold,Italy,North America,Europe,Snow
F,24,182,73,2014,Winter,Sochi,Skating,Gold,Netherlands,Europe,Europe,Ice
M,33,184,86,1968,Summer,Mexico City,Rowing,Bronze,Russia,North America,Europe,Boat
M,38,187,90,1988,Summer,Seoul,Fencing,Silver,Germany,Asia,Europe,Combat
F,23,153,52,2004,Summer,Athina,Judo,Silver,Japan,Europe,Asia,Combat
M,20,196,100,1996,Summer,Atlanta,Handball,Bronze,Spain,North America,Europe,Ball
F,26,164,54,2000,Summer,Sydney,Fencing,Gold,Italy,Oceania,Europe,Combat
M,22,174,65,1980,Summer,Moskva,Judo,Bronze,Bulgaria,Europe,Europe,Combat
F,28,184,85,2004,Summer,Athina,Others,Silver,Australia,Europe,Oceania,Ball
M,34,171,65,2016,Summer,Rio de Janeiro,Cycling,Bronze,Spain,South America,Europe,Others
M,20,181,68,2008,Summer,Beijing,Track&Field,Bronze,Cuba,Asia,North America,Race
M,30,172,71,1968,Summer,Mexico City,Boxing,Gold,Russia,North America,Europe,Combat
M,27,180,69,1960,Summer,Roma,Hockey,Bronze,Spain,Europe,Europe,Ball
M,28,176,74,1968,Summer,Mexico City,Football,Gold,Hungary,North America,Europe,Ball
M,28,189,108,2016,Summer,Rio de Janeiro,Judo,Bronze,France,South America,Europe,Combat
M,23,176,78,1980,Summer,Moskva,Water Polo,Gold,Russia,Europe,Europe,Water
F,22,182,75,2008,Summer,Beijing,Rowing,Bronze,Germany,Asia,Europe,Boat
F,35,177,77,2008,Summer,Beijing,Rowing,Gold,Bulgaria,Asia,Europe,Boat
M,23,168,68,1936,Winter,others,Skiing,Bronze,France,Europe,Europe,Snow
M,32,193,85,2016,Summer,Rio de Janeiro,Swimming,Silver,France,South America,Europe,Water
M,28,170,65,1924,Winter,others,Hockey,Gold,Canada,Europe,North America,Ice
M,27,176,71,1968,Winter,others,Skiing,Bronze,Finland,Europe,Europe,Snow
M,30,183,83,1976,Winter,Innsbruck,Hockey,Bronze,Germany,Europe,Europe,Ice
F,32,177,72,1992,Summer,Barcelona,Rowing,Gold,Canada,Europe,North America,Boat
M,25,197,80,2016,Summer,Rio de Janeiro,Others,Bronze,Others,South America,Asia,Combat
M,26,198,90,2012,Summer,London,Swimming,Bronze,Australia,Europe,Oceania,Water
M,23,173,61,1960,Summer,Roma,Canoeing,Gold,Russia,Europe,Europe,Boat
M,41,177,92,1972,Summer,Munich,Others,Gold,Italy,Europe,Europe,Target
M,21,177,73,1968,Summer,Mexico City,Cycling,Gold,Italy,North America,Europe,Others
M,26,179,79,1952,Summer,others,Others,Gold,Romania,Europe,Europe,Target
F,19,187,82,1988,Summer,Seoul,Swimming,Silver,Germany,Asia,Europe,Water
M,31,180,60,2010,Winter,Vancouver,Skiing,Silver,Germany,North America,Europe,Snow
M,35,187,84,2004,Summer,Athina,Water Polo,Bronze,Russia,Europe,Europe,Water
M,29,182,94,2006,Winter,Torino,Others,Silver,Russia,Europe,Europe,Ice
F,31,175,64,2002,Winter,Salt Lake City,Skiing,Bronze,Switzerland,North America,Europe,Snow
M,29,177,56,2006,Winter,Torino,Skiing,Bronze,Norway,Europe,Europe,Snow
F,28,168,54,1996,Summer,Atlanta,Track&Field,Bronze,Others,North America,Africa,Race
M,21,171,60,1988,Summer,Seoul,Track&Field,Gold,Others,Asia,Africa,Race
M,27,192,96,2004,Summer,Athina,Water Polo,Bronze,Russia,Europe,Europe,Water
F,27,170,62,2004,Summer,Athina,Track&Field,Bronze,Jamaica,Europe,North America,Race
F,22,164,53,1988,Summer,Seoul,Others,Bronze,Japan,Asia,Asia,Acrobatic
M,25,180,78,1968,Winter,others,Others,Silver,Austria,Europe,Europe,Ice
M,24,185,100,2004,Summer,Athina,Judo,Gold,Japan,Europe,Asia,Combat
M,20,198,100,2016,Summer,Rio de Janeiro,Handball,Silver,France,South America,Europe,Ball
M,23,173,73,1964,Summer,Tokyo,Hockey,Bronze,Australia,Asia,Oceania,Ball
M,22,187,78,1980,Summer,Moskva,Rowing,Bronze,Germany,Europe,Europe,Boat
M,24,183,95,2010,Winter,Vancouver,Others,Silver,Germany,North America,Europe,Ice
M,27,174,77,1996,Summer,Atlanta,Hockey,Bronze,Australia,North America,Oceania,Ball
M,27,185,80,2014,Winter,Sochi,Skating,Bronze,Netherlands,Europe,Europe,Ice
F,25,174,62,1984,Summer,Los Angeles,Hockey,Silver,Germany,North America,Europe,Ball
M,25,174,84,2004,Summer,Athina,Wrestling,Silver,Others,Europe,Asia,Combat
M,19,185,89,2004,Summer,Athina,Hockey,Bronze,Germany,Europe,Europe,Ball
F,38,172,70,1996,Summer,Atlanta,Others,Bronze,Australia,North America,Oceania,Ball
M,24,167,62,1968,Summer,Mexico City,Wrestling,Silver,Japan,North America,Asia,Combat
F,24,175,74,1976,Summer,Montreal,Handball,Gold,Russia,North America,Europe,Ball
M,42,188,94,1996,Summer,Atlanta,Sailing,Gold,Germany,North America,Europe,Boat
M,26,180,75,2012,Summer,London,Handball,Gold,France,Europe,Europe,Ball
F,31,178,63,2000,Summer,Sydney,Water Polo,Bronze,Russia,Oceania,Europe,Water
M,25,176,75,1972,Summer,Munich,Cycling,Gold,Denmark,Europe,Europe,Others
M,28,186,80,2000,Summer,Sydney,Others,Bronze,Others,Oceania,North America,Combat
M,30,163,69,2004,Summer,Athina,Boxing,Silver,Cuba,Europe,North America,Combat
M,30,169,62,1964,Summer,Tokyo,Fencing,Bronze,France,Asia,Europe,Combat
F,30,173,61,2008,Summer,Beijing,Others,Silver,Spain,Asia,Europe,Acrobatic
F,24,168,57,1988,Summer,Seoul,Track&Field,Silver,Germany,Asia,Europe,Race
M,22,186,78,1960,Summer,Roma,Track&Field,Bronze,Russia,Europe,Europe,Race
M,28,199,105,2012,Summer,London,Basketball,Silver,Spain,Europe,Europe,Ball
M,26,184,80,1996,Summer,Atlanta,Others,Bronze,Austria,North America,Europe,Target
F,35,165,61,2000,Summer,Sydney,Basketball,Silver,Australia,Oceania,Oceania,Ball
F,25,180,67,2012,Summer,London,Swimming,Bronze,France,Europe,Europe,Water
M,29,191,90,2012,Summer,London,Rowing,Bronze,Australia,Europe,Oceania,Boat
M,28,190,82,1972,Summer,Munich,Basketball,Gold,Russia,Europe,Europe,Ball
M,27,193,90,1972,Summer,Munich,Basketball,Gold,Russia,Europe,Europe,Ball
M,19,187,73,1992,Summer,Barcelona,Swimming,Gold,Russia,Europe,Europe,Water
M,36,177,75,2010,Winter,Vancouver,Skating,Gold,China,North America,Asia,Ice
M,24,185,83,1984,Summer,Los Angeles,Rowing,Bronze,Canada,North America,North America,Boat
F,27,190,77,1996,Summer,Atlanta,Volleyball,Gold,Cuba,North America,North America,Ball
F,20,170,62,1984,Summer,Los Angeles,Hockey,Silver,Germany,North America,Europe,Ball
M,27,181,74,2008,Summer,Beijing,Others,Silver,Germany,Asia,Europe,Ball
M,26,181,77,1988,Summer,Seoul,Football,Gold,Russia,Asia,Europe,Ball
M,34,171,65,2016,Summer,Rio de Janeiro,Fencing,Silver,France,South America,Europe,Combat
M,20,175,94,2008,Summer,Beijing,Others,Gold,Others,Asia,Asia,Others
F,29,170,68,1994,Winter,Lillehammer,Skiing,Gold,Switzerland,Europe,Europe,Snow
M,18,157,52,1992,Summer,Barcelona,Gymnastics,Silver,China,Europe,Asia,Acrobatic
F,20,175,63,1992,Summer,Barcelona,Swimming,Silver,Germany,Europe,Europe,Water
M,23,182,82,2004,Summer,Athina,Football,Gold,Argentina,Europe,South America,Ball
M,31,192,95,2016,Summer,Rio de Janeiro,Water Polo,Bronze,Italy,South America,Europe,Water
M,28,170,64,1980,Summer,Moskva,Hockey,Silver,Spain,Europe,Europe,Ball
M,28,186,90,2016,Summer,Rio de Janeiro,Football,Gold,Brazil,South America,South America,Ball
M,20,184,96,2004,Summer,Athina,Wrestling,Silver,Others,Europe,Asia,Combat
M,26,180,72,1984,Summer,Los Angeles,Sailing,Silver,Brazil,North America,South America,Boat
M,34,175,78,1980,Summer,Moskva,Others,Gold,Italy,Europe,Europe,Target
M,22,169,78,2016,Summer,Rio de Janeiro,Football,Bronze,Others,South America,Africa,Ball
M,20,173,75,1980,Summer,Moskva,Others,Gold,Bulgaria,Europe,Europe,Others
M,25,173,74,1980,Summer,Moskva,Hockey,Bronze,Russia,Europe,Europe,Ball
M,24,172,66.5,1952,Summer,others,Boxing,Bronze,Finland,Europe,Europe,Combat
M,31,201,91,2000,Summer,Sydney,Volleyball,Silver,Russia,Oceania,Europe,Ball
M,24,176,70,1984,Summer,Los Angeles,Sailing,Gold,Spain,North America,Europe,Boat
M,28,188,83,2004,Summer,Athina,Canoeing,Silver,Germany,Europe,Europe,Boat
F,22,156,49,2004,Summer,Athina,Others,Silver,China,Europe,Asia,Others
M,24,166,74,2000,Summer,Sydney,Hockey,Bronze,Australia,Oceania,Oceania,Ball
M,21,178,70,2010,Winter,Vancouver,Skating,Silver,South Korea,North America,Asia,Ice
M,23,184,83,2012,Summer,London,Hockey,Gold,Germany,Europe,Europe,Ball
M,26,192,90,1976,Summer,Montreal,Volleyball,Gold,Poland,North America,Europe,Ball
F,25,165,47,2004,Summer,Athina,Gymnastics,Bronze,Russia,Europe,Europe,Acrobatic
M,26,185,94,1996,Summer,Atlanta,Cycling,Gold,Germany,North America,Europe,Others
M,23,188,79,1964,Summer,Tokyo,Fencing,Gold,Hungary,Asia,Europe,Combat
M,22,159,52,1992,Summer,Barcelona,Boxing,Bronze,Germany,Europe,Europe,Combat
F,34,168,57,2016,Summer,Rio de Janeiro,Track&Field,Silver,Jamaica,South America,North America,Race
M,28,194,96,1996,Summer,Atlanta,Water Polo,Gold,Spain,North America,Europe,Water
F,26,175,65,2000,Summer,Sydney,Others,Bronze,China,Oceania,Asia,Ball
F,22,179,57,2000,Summer,Sydney,Others,Gold,Russia,Oceania,Europe,Acrobatic
M,32,200,84,1972,Summer,Munich,Basketball,Gold,Russia,Europe,Europe,Ball
F,22,182,70,2004,Summer,Athina,Swimming,Gold,Ukraine,Europe,Europe,Water
M,35,186,86,2004,Summer,Athina,Others,Silver,Australia,Europe,Oceania,Ball
F,39,167,51,2008,Summer,Beijing,Others,Bronze,Germany,Asia,Europe,Target
F,43,166,51,2008,Summer,Beijing,Equestrianism,Gold,Germany,Asia,Europe,Others
F,30,168,59,1968,Summer,Mexico City,Fencing,Gold,Russia,North America,Europe,Combat
M,31,175,73,1980,Summer,Moskva,Hockey,Bronze,Russia,Europe,Europe,Ball
M,24,186,80,2000,Summer,Sydney,Cycling,Gold,Germany,Oceania,Europe,Others
M,24,165,54,1992,Summer,Barcelona,Track&Field,Silver,Japan,Europe,Asia,Race
M,25,177,73,1964,Summer,Tokyo,Volleyball,Bronze,Japan,Asia,Asia,Ball
M,25,172,64,2016,Summer,Rio de Janeiro,Boxing,Bronze,Germany,South America,Europe,Combat
M,18,175,75,1996,Summer,Atlanta,Football,Gold,Others,North America,Africa,Ball
M,28,204,97,1992,Summer,Barcelona,Rowing,Bronze,Germany,Europe,Europe,Boat
F,24,162,56,1976,Summer,Montreal,Others,Silver,Germany,North America,Europe,Water
F,27,176,70,1980,Summer,Moskva,Track&Field,Silver,Germany,Europe,Europe,Race
F,22,150,48,2008,Summer,Beijing,Judo,Bronze,Argentina,Asia,South America,Combat
M,27,181,64,2000,Summer,Sydney,Sailing,Gold,Australia,Oceania,Oceania,Boat
M,21,175,73,1980,Summer,Moskva,Canoeing,Silver,Spain,Europe,Europe,Boat
F,26,183,72,1984,Summer,Los Angeles,Rowing,Bronze,Netherlands,North America,Europe,Boat
F,23,168,62,1988,Summer,Seoul,Fencing,Silver,Italy,Asia,Europe,Combat
F,24,178,76,1980,Summer,Moskva,Rowing,Silver,Russia,Europe,Europe,Boat
F,26,180,58,2016,Summer,Rio de Janeiro,Track&Field,Silver,Bulgaria,South America,Europe,Race
M,57,170,67,1980,Summer,Moskva,Equestrianism,Bronze,Romania,Europe,Europe,Others
F,27,162,61,2000,Summer,Sydney,Hockey,Silver,Argentina,Oceania,South America,Ball
F,22,173,70,1984,Summer,Los Angeles,Handball,Bronze,China,North America,Asia,Ball
F,25,168,61,2016,Summer,Rio de Janeiro,Water Polo,Silver,Italy,South America,Europe,Water
M,27,186,88,1992,Winter,Albertville,Hockey,Bronze,Czech Republic,Europe,Europe,Ice
F,22,140,39,2004,Summer,Athina,Gymnastics,Bronze,Russia,Europe,Europe,Acrobatic
M,21,189,72,2010,Winter,Vancouver,Skiing,Silver,Germany,North America,Europe,Snow
F,25,180,74,2002,Winter,Salt Lake City,Skating,Silver,Netherlands,North America,Europe,Ice
M,28,181,79,1992,Summer,Barcelona,Rowing,Silver,Norway,Europe,Europe,Boat
M,28,180,94,1988,Winter,Calgary,Others,Gold,Switzerland,North America,Europe,Ice
M,24,192,89,2004,Summer,Athina,Rowing,Silver,Czech Republic,Europe,Europe,Boat
M,25,189,72,2014,Winter,Sochi,Skiing,Gold,Germany,Europe,Europe,Snow
M,27,187,94,1956,Summer,Melbourne,Basketball,Bronze,Others,Oceania,South America,Ball
M,36,178,65,2010,Winter,Vancouver,MultiSport Race,Gold,Norway,North America,Europe,Race
M,24,184,84,1968,Summer,Mexico City,Rowing,Gold,Germany,North America,Europe,Boat
F,18,170,75,2004,Summer,Athina,Wrestling,Gold,China,Europe,Asia,Combat
M,22,155,55,2012,Summer,London,Wrestling,Bronze,Russia,Europe,Europe,Combat
M,31,176,78,1988,Summer,Seoul,Water Polo,Bronze,Russia,Asia,Europe,Water
M,19,182,76,1980,Summer,Moskva,Swimming,Bronze,Brazil,Europe,South America,Water
M,21,186,91,1992,Winter,Albertville,Hockey,Gold,Russia,Europe,Europe,Ice
M,28,180,73,1996,Summer,Atlanta,Track&Field,Silver,Others,North America,Africa,Race
M,25,175,79,1956,Summer,Melbourne,Wrestling,Silver,Bulgaria,Oceania,Europe,Combat
M,29,175,84,1964,Summer,Tokyo,Hockey,Bronze,Australia,Asia,Oceania,Ball
M,23,190,77,1988,Summer,Seoul,Fencing,Silver,Germany,Asia,Europe,Combat
F,27,162,57,1984,Winter,others,Skiing,Bronze,Czech Republic,Europe,Europe,Snow
M,33,178,82,2016,Summer,Rio de Janeiro,Others,Gold,Croatia,South America,Europe,Target
M,32,182,88,1972,Summer,Munich,Canoeing,Gold,Russia,Europe,Europe,Boat
M,20,192,90,2012,Summer,London,Swimming,Bronze,Russia,Europe,Europe,Water
M,35,184,78,1980,Summer,Moskva,Others,Bronze,Sweden,Europe,Europe,Target
M,27,197,95,2012,Summer,London,Swimming,Bronze,Australia,Europe,Oceania,Water
M,25,165,65,1992,Summer,Barcelona,Others,Bronze,Japan,Europe,Asia,Ball
M,35,184,100,1992,Summer,Barcelona,Sailing,Gold,Denmark,Europe,Europe,Boat
M,28,178,75,1956,Summer,Melbourne,Fencing,Gold,France,Oceania,Europe,Combat
M,25,185,84,1980,Summer,Moskva,Canoeing,Silver,Romania,Europe,Europe,Boat
M,26,158,52,1964,Summer,Tokyo,Gymnastics,Silver,Japan,Asia,Asia,Acrobatic
M,20,189,80,1960,Summer,Roma,Sailing,Gold,Others,Europe,Europe,Boat
F,29,162,63,2004,Summer,Athina,Basketball,Silver,Australia,Europe,Oceania,Ball
M,28,164,61.5,1972,Winter,others,MultiSport Race,Silver,Finland,Asia,Europe,Race
F,30,162,56,1964,Summer,Tokyo,Gymnastics,Gold,Russia,Asia,Europe,Acrobatic
F,31,164,55,1994,Winter,Lillehammer,Skiing,Gold,Italy,Europe,Europe,Snow
F,17,174,57,1992,Summer,Barcelona,Swimming,Gold,Hungary,Europe,Europe,Water
M,28,203,98,2004,Summer,Athina,Volleyball,Gold,Brazil,Europe,South America,Ball
M,20,181,110,1996,Summer,Atlanta,Others,Bronze,Italy,North America,Europe,Target
M,26,176,82,2010,Winter,Vancouver,Skiing,Bronze,Russia,North America,Europe,Snow
M,30,182,84,1968,Winter,others,Others,Bronze,Switzerland,Europe,Europe,Ice
M,28,169,84,1960,Summer,Roma,Others,Silver,Switzerland,Europe,Europe,Target
M,25,186,70,2016,Summer,Rio de Janeiro,Cycling,Silver,Netherlands,South America,Europe,Others
M,27,178,73,1920,Summer,others,Track&Field,Silver,Finland,Europe,Europe,Race
M,31,172,59,1960,Summer,Roma,Track&Field,Gold,Poland,Europe,Europe,Race
M,29,182,73,1996,Summer,Atlanta,Sailing,Silver,Australia,North America,Oceania,Boat
M,26,164,60,2004,Summer,Athina,Wrestling,Silver,Others,Europe,Asia,Combat
M,21,196,88,1984,Summer,Los Angeles,Swimming,Bronze,Australia,North America,Oceania,Water
M,22,181,77,1952,Summer,others,Rowing,Gold,Russia,Europe,Europe,Boat
M,24,170,65,1976,Summer,Montreal,Hockey,Gold,New Zealand,North America,Oceania,Ball
F,21,164,61,1994,Winter,Lillehammer,Skating,Silver,Germany,Europe,Europe,Ice
F,23,163,62,1988,Summer,Seoul,Hockey,Silver,South Korea,Asia,Asia,Ball
M,22,168,58,1984,Summer,Los Angeles,Hockey,Gold,Others,North America,Asia,Ball
M,25,176,68,1952,Winter,others,Skiing,Gold,Finland,Europe,Europe,Snow
M,27,178,62,1964,Summer,Tokyo,Equestrianism,Gold,Germany,Asia,Europe,Others
F,26,168,55,1928,Summer,others,Track&Field,Gold,Canada,Europe,North America,Race
M,23,182,70,1988,Winter,Calgary,Skiing,Gold,France,North America,Europe,Snow
M,20,169,68,1992,Summer,Barcelona,Gymnastics,Gold,Russia,Europe,Europe,Acrobatic
M,20,201,88,1984,Summer,Los Angeles,Swimming,Gold,Germany,North America,Europe,Water
M,26,185,83,1972,Summer,Munich,Volleyball,Silver,Germany,Europe,Europe,Ball
F,24,179,70,2016,Summer,Rio de Janeiro,Track&Field,Silver,Netherlands,South America,Europe,Race
F,26,163,54,2004,Summer,Athina,Sailing,Gold,France,Europe,Europe,Boat
M,21,176,70,1980,Summer,Moskva,Football,Bronze,Russia,Europe,Europe,Ball
F,42,171,72,1998,Winter,Nagano,Others,Silver,Denmark,Asia,Europe,Ice
F,23,180,65,2000,Summer,Sydney,Water Polo,Gold,Australia,Oceania,Oceania,Water
F,25,166,60,2004,Summer,Athina,Others,Gold,China,Europe,Asia,Ball
M,32,192,92,2004,Summer,Athina,Water Polo,Bronze,Russia,Europe,Europe,Water
M,31,180,81,1976,Winter,Innsbruck,Others,Silver,Switzerland,Europe,Europe,Ice
M,19,174,73,1984,Summer,Los Angeles,Football,Bronze,Serbia,North America,Europe,Ball
M,27,185,74,1996,Summer,Atlanta,Football,Silver,Argentina,North America,South America,Ball
F,20,176,73,1976,Summer,Montreal,Rowing,Silver,Russia,North America,Europe,Boat
F,18,168,55,2008,Summer,Beijing,Wrestling,Silver,China,Asia,Asia,Combat
M,24,178,73,2000,Summer,Sydney,Fencing,Bronze,Italy,Oceania,Europe,Combat
F,24,173,62,2006,Winter,Torino,Hockey,Gold,Canada,Europe,North America,Ice
M,32,196,90,2000,Summer,Sydney,Canoeing,Gold,Norway,Oceania,Europe,Boat
F,20,173,64,1992,Summer,Barcelona,Canoeing,Gold,Hungary,Europe,Europe,Boat
M,28,171,80,2014,Winter,Sochi,Others,Bronze,Sweden,Europe,Europe,Ice
M,52,178,80,1960,Summer,Roma,Sailing,Bronze,Switzerland,Europe,Europe,Boat
F,27,168,60,1984,Summer,Los Angeles,Canoeing,Silver,Germany,North America,Europe,Boat
F,26,163,75,2012,Summer,London,Others,Bronze,Belarus,Europe,Europe,Others
F,23,165,58,1984,Winter,others,Skating,Silver,Germany,Europe,Europe,Ice
M,20,161,57,1968,Summer,Mexico City,Gymnastics,Gold,Japan,North America,Asia,Acrobatic
M,26,196,110,1968,Summer,Mexico City,Water Polo,Gold,Serbia,North America,Europe,Water
M,24,176,76,1960,Summer,Roma,Boxing,Silver,Poland,Europe,Europe,Combat
M,27,195,82,1992,Summer,Barcelona,Basketball,Silver,Croatia,Europe,Europe,Ball
M,22,184,80,1996,Summer,Atlanta,Canoeing,Bronze,Poland,North America,Europe,Boat
M,28,193,93,1996,Summer,Atlanta,Handball,Silver,Sweden,North America,Europe,Ball
M,27,178,81,2012,Summer,London,Handball,Gold,France,Europe,Europe,Ball
M,27,179,83,1996,Summer,Atlanta,Handball,Bronze,Spain,North America,Europe,Ball
M,26,165,77,2016,Summer,Rio de Janeiro,Others,Bronze,Others,South America,Africa,Others
M,33,171,59,1932,Summer,Los Angeles,Track&Field,Bronze,Finland,North America,Europe,Race
M,23,180,87,1968,Winter,others,Others,Gold,Austria,Europe,Europe,Ice
