HPIRank,Country,SubRegion,AverageLifeExpectancy,AverageWellBeing,HappyLifeYears,Footprint,InequalityOfOutcomes,InequalityAdjustedLifeExpectancy,InequalityAdjustedWellbeing,HappyPlanetIndex,GDPPerCapita,Population
40,Georgia,Post-communist,74.6,4.3,24.7,1.6,0.2,66.9,3.8,31.1,4143,3825000
49,Germany,Europe,80.6,6.7,48.2,5.3,0.08,77.6,6.4,29.8,44011,80425823
104,Ghana,Sub Saharan Africa,61.0,5.1,18.8,2.0,0.38,42.2,4.6,21.4,1642,25544565
89,Greece,Europe,80.5,5.1,33.3,4.4,0.16,77.6,4.5,23.6,22243,11045011
26,Guatemala,Americas,71.4,5.9,29.6,1.9,0.27,59.2,5.2,34.2,3279,15368759
129,Guinea,Sub Saharan Africa,57.7,3.7,11.8,1.4,0.42,37.2,3.3,15.9,487,11628767
57,Haiti,Americas,62.1,4.4,16.5,0.6,0.37,42.9,4.0,28.6,767,10288828
65,Honduras,Americas,72.8,4.6,22.1,1.7,0.31,58.5,3.9,27.2,2395,7736131
123,Hong Kong,Asia Pacific,83.6,5.5,40.1,8.8,0.1,81.3,5.1,16.8,36708,7154600
69,Hungary,Post-communist,74.9,4.7,28.7,2.9,0.15,70.9,4.2,26.4,12820,9920362
39,Iceland,Europe,82.2,7.6,58.0,6.4,0.05,79.8,7.4,31.1,44259,320716
50,India,Asia Pacific,67.3,4.6,20.4,1.2,0.31,51.1,4.2,29.2,1450,1263589639
16,Indonesia,Asia Pacific,68.5,5.4,28.4,1.6,0.21,57.2,5.1,35.7,3701,248037853
84,Iran,Middle East and North Africa,74.8,4.6,25.4,2.8,0.23,66.9,4.0,24.0,7711,76156975
67,Iraq,Middle East and North Africa,69.0,4.7,22.8,1.9,0.27,55.6,4.3,26.5,6649,32780975
48,Ireland,Europe,80.5,7.0,50.3,5.6,0.08,77.5,6.7,30.0,48977,4586897
54,Israel,Middle East and North Africa,81.9,7.1,52.5,6.2,0.08,78.7,6.8,28.8,32819,7910500
60,Italy,Europe,82.7,5.8,41.1,4.6,0.12,80.2,5.3,28.1,34844,59539717
11,Jamaica,Americas,75.3,5.6,31.9,1.9,0.21,66.3,5.0,36.9,5446,2707805
58,Japan,Asia Pacific,83.2,6.0,44.0,5.0,0.09,80.6,5.6,28.3,46679,127561489
114,Kazakhstan,Post-communist,68.6,5.8,31.7,5.6,0.18,60.7,5.4,19.1,12120,16791425
83,Kenya,Sub Saharan Africa,60.3,4.5,16.2,1.0,0.38,41.0,4.1,24.2,1185,42542978
31,Kyrgyzstan,Post-communist,69.7,5.2,28.7,1.9,0.18,60.2,4.9,33.1,1178,5607200
121,Latvia,Post-communist,73.6,5.1,31.2,6.3,0.14,68.7,4.7,17.1,13775,2034319
100,Lebanon,Middle East and North Africa,78.8,4.6,28.2,3.8,0.19,73.1,4.0,21.9,9729,4440728
125,Lesotho,Sub Saharan Africa,48.9,4.9,13.4,1.7,0.42,32.6,4.3,16.7,1159,2057331
96,Liberia,Sub Saharan Africa,60.2,4.4,15.7,1.2,0.38,40.3,4.1,22.2,414,4190155
107,Lithuania,Post-communist,72.8,5.8,36.4,5.8,0.11,68.8,5.4,21.0,14343,2987773
139,Luxembourg,Europe,81.1,7.0,51.7,15.8,0.07,79.0,6.7,13.2,105447,530946
90,Macedonia,Post-communist,75.1,4.6,27.2,3.3,0.18,69.4,4.1,23.4,4710,2069270
98,Malawi,Sub Saharan Africa,60.1,4.3,13.7,0.8,0.45,40.4,3.5,22.1,270,15700436
46,Malaysia,Asia Pacific,74.4,5.9,38.3,3.7,0.1,69.5,5.7,30.3,10835,29021940
53,Malta,Europe,80.2,6.0,40.8,4.4,0.13,76.6,5.5,29.0,21176,419455
117,Mauritania,Sub Saharan Africa,62.6,4.7,18.0,2.5,0.37,41.5,4.5,18.0,1283,3777067
63,Mauritius,Sub Saharan Africa,74.0,5.5,33.1,3.5,0.17,66.7,5.1,27.4,9114,1255882
2,Mexico,Americas,76.4,7.3,44.3,2.9,0.19,66.3,6.8,40.7,9703,122070963
136,Mongolia,Asia Pacific,68.6,4.9,25.3,6.1,0.22,56.9,4.6,14.3,4377,2808339
78,Montenegro,Post-communist,75.8,5.2,32.1,3.8,0.16,71.8,4.6,25.1,6587,620601
33,Morocco,Middle East and North Africa,73.4,5.0,26.7,1.7,0.25,61.6,4.5,32.7,2931,32984190
88,Mozambique,Sub Saharan Africa,54.3,5.0,15.0,0.9,0.43,34.5,4.5,23.7,565,25732928
81,Myanmar,Asia Pacific,65.5,4.4,18.8,1.4,0.32,48.4,4.0,24.7,1421,52543841
103,Namibia,Sub Saharan Africa,64.0,4.7,21.3,2.5,0.26,50.1,4.4,21.6,5680,2291645
42,Nepal,Asia Pacific,68.8,4.2,20.2,1.0,0.27,55.3,3.8,30.5,685,27500515
18,Netherlands,Europe,81.2,7.5,57.0,5.3,0.04,78.2,7.5,35.3,49475,16754962
38,New Zealand,Asia Pacific,81.4,7.2,52.7,5.6,0.08,77.7,6.9,31.3,39505,4408100
7,Nicaragua,Americas,74.3,5.4,29.2,1.4,0.25,63.4,4.8,38.7,1780,5877034
122,Niger,Sub Saharan Africa,60.0,3.8,13.1,1.6,0.4,38.9,3.5,16.8,394,17635782
95,Nigeria,Sub Saharan Africa,52.1,5.5,15.5,1.2,0.44,30.9,5.2,22.2,2740,168240403
12,Norway,Europe,81.3,7.7,57.1,5.0,0.07,78.6,7.4,36.8,101564,5018573
106,Oman,Middle East and North Africa,76.3,6.9,44.5,7.5,0.13,70.9,6.4,21.1,21534,3545192
36,Pakistan,Asia Pacific,65.7,5.1,19.5,0.8,0.4,44.1,4.6,31.5,1266,177392252
22,Palestine,Middle East and North Africa,72.6,4.6,24.5,1.2,0.24,62.6,4.1,34.5,2783,4046901
6,Panama,Americas,77.2,6.9,42.1,2.8,0.19,68.3,6.3,39.5,10139,3743761
91,Paraguay,Americas,72.6,5.8,31.8,4.2,0.22,59.4,5.5,23.3,3858,6379162
21,Peru,Americas,74.1,5.8,32.9,2.3,0.21,63.5,5.3,34.6,6389,30158768
20,Philippines,Asia Pacific,67.9,5.0,24.1,1.1,0.26,56.9,4.4,35.0,2605,96017322
62,Poland,Post-communist,76.9,5.9,39.2,4.4,0.11,72.9,5.5,27.5,13142,38063164
79,Portugal,Europe,80.3,5.0,32.3,3.9,0.16,77.2,4.3,24.8,20577,10514844
115,Republic of Congo,Sub Saharan Africa,61.0,3.9,13.6,1.3,0.4,42.0,3.4,18.8,3191,4286188
55,Romania,Post-communist,74.3,5.2,30.1,2.7,0.19,68.1,4.6,28.8,8577,20058035
116,Russia,Post-communist,69.5,5.6,31.7,5.7,0.16,63.4,5.2,18.7,14079,143201676
111,Rwanda,Sub Saharan Africa,63.1,3.3,12.4,0.9,0.37,44.3,3.0,19.6,667,10817350
101,Senegal,Sub Saharan Africa,65.4,3.7,15.5,1.2,0.33,49.1,3.3,21.9,1019,13780108
52,Serbia,Post-communist,74.5,5.2,30.3,2.7,0.19,68.6,4.6,29.0,5659,7199077
133,Sierra Leone,Sub Saharan Africa,49.8,4.5,10.8,1.2,0.5,28.2,4.0,15.3,619,6043157
59,Slovakia,Post-communist,75.9,5.9,37.9,4.1,0.13,71.9,5.4,28.2,17207,5407579
82,Slovenia,Post-communist,80.0,6.1,42.6,5.8,0.1,77.1,5.7,24.6,22478,2057159
128,South Africa,Sub Saharan Africa,56.3,5.1,18.5,3.3,0.33,41.8,4.6,15.9,7592,52341695
80,South Korea,Asia Pacific,81.3,6.0,42.2,5.7,0.11,78.3,5.5,24.8,24454,50004441
15,Spain,Europe,82.2,6.3,45.3,3.7,0.1,79.3,5.9,36.0,28648,46773055
28,Sri Lanka,Asia Pacific,74.6,4.2,24.9,1.3,0.17,68.6,3.8,33.8,3351,20424000
75,Suriname,Americas,70.8,6.3,35.2,4.3,0.19,61.2,5.9,25.4,9422,528535
132,Swaziland,Sub Saharan Africa,48.9,4.9,13.6,2.0,0.41000000000000003,31.8,4.4,15.5,3989,1231694
61,Sweden,Europe,81.8,7.6,57.4,7.3,0.06,79.1,7.4,28.0,57134,9519374
24,Switzerland,Europe,82.6,7.8,59.3,5.8,0.06,79.4,7.6,34.3,83209,7996861
113,Syria,Middle East and North Africa,70.4,3.2,14.7,1.5,0.3,60.2,2.6,19.1,2080,21427155
25,Tajikistan,Post-communist,69.0,4.5,22.2,0.9,0.26,53.0,4.3,34.2,962,7930929
97,Tanzania,Sub Saharan Africa,63.5,4.0,16.2,1.3,0.33,47.7,3.6,22.1,828,48645709
9,Thailand,Asia Pacific,74.1,6.3,38.6,2.7,0.15,66.3,6.0,37.3,5918,67164130
138,Togo,Sub Saharan Africa,58.6,2.9,9.0,1.1,0.43,39.6,2.4,13.2,580,6745581
130,Trinidad and Tobago,Americas,70.1,6.4,34.4,7.9,0.21,58.4,6.0,15.7,18322,1341579
71,Tunisia,Middle East and North Africa,74.6,4.5,25.2,2.3,0.22,65.5,4.0,26.2,4188,10777500
68,Turkey,Middle East and North Africa,74.7,5.3,31.2,3.3,0.19,66.2,4.9,26.4,10646,74099255
134,Turkmenistan,Post-communist,65.3,5.5,24.0,5.5,0.31,48.3,5.1,14.6,6798,5172941
112,Uganda,Sub Saharan Africa,57.1,4.3,13.8,1.2,0.41000000000000003,36.8,3.9,19.4,656,35400620
70,Ukraine,Post-communist,70.3,5.0,28.3,2.8,0.17,64.2,4.6,26.4,3855,45593300
34,United Kingdom,Europe,80.4,6.9,49.1,4.9,0.09,76.8,6.6,31.9,41295,63700300
108,United States of America,Americas,78.8,7.0,46.8,8.2,0.13,74.0,6.5,20.7,51457,314112078
14,Uruguay,Americas,76.9,6.4,39.4,2.9,0.18,69.6,5.8,36.1,15128,3396753
51,Uzbekistan,Post-communist,68.2,6.0,27.9,2.3,0.3,51.6,5.6,29.1,1719,29774500
4,Vanuatu,Asia Pacific,71.3,6.5,34.9,1.9,0.22,60.3,5.9,40.6,3158,247498
29,Venezuela,Americas,73.9,7.1,41.5,3.6,0.19,65.5,6.5,33.6,12772,29854238
5,Vietnam,Asia Pacific,75.5,5.5,32.8,1.7,0.19,64.8,5.2,40.3,1755,88809200
94,Yemen,Middle East and North Africa,63.3,4.1,15.2,1.0,0.39,44.7,3.6,22.8,1289,24882792
77,Zambia,Sub Saharan Africa,58.4,5.0,16.7,1.0,0.41000000000000003,38.7,4.5,25.2,1687,14786581
99,Zimbabwe,Sub Saharan Africa,53.7,5.0,16.4,1.4,0.37,36.9,4.6,22.1,851,14565482
